Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
700,0.973788,0.98851,-0.01149
701,0.996881,1.01255,0.012547
702,0.983973,0.998547,-0.001453
703,0.985417,0.999991,-9e-06
704,0.983399,0.999343,-0.000657
705,0.986714,1.00205,0.002047
706,0.984233,0.998603,-0.001397
707,0.984214,0.99875,-0.00125
708,0.970936,0.985232,-0.014768
709,1.00158,1.01679,0.016788
710,0.985233,0.999399,-0.000601
711,0.985548,1.00001,1e-05
712,0.978917,0.993972,-0.006028
713,0.992084,1.0072,0.007195
714,0.984251,0.998733,-0.001267
715,0.985565,1.00012,0.00012
716,0.973566,0.987955,-0.012045
717,0.997417,1.01266,0.012658
718,0.985065,0.999213,-0.000787
719,0.985825,1.00021,0.000214
720,0.991029,1.00529,0.005288
721,0.985251,1.00075,0.00075
722,0.983251,0.998066,-0.001934
723,0.985084,0.999787,-0.000213
724,0.988177,1.00275,0.002751
725,0.981251,0.99601,-0.00399
726,0.986528,1.00114,0.001139
727,0.985344,1.00007,6.6e-05
728,0.987954,1.00264,0.002639
729,0.983417,0.998121,-0.001879
730,0.984492,0.99914,-0.00086
731,0.985343,1.00042,0.000417
732,0.987788,1.00232,0.002325
733,0.982825,0.997658,-0.002342
734,0.985713,1.00036,0.000361
735,0.986306,1.0011,0.001103
736,0.983529,1.00129,0.001288
737,0.98201,0.997195,-0.002805
738,0.984954,0.999491,-0.000509
739,0.985307,0.999862,-0.000138
740,0.98851,1.00295,0.002954
741,0.982306,0.997917,-0.002083
742,0.982862,0.997381,-0.002619
743,0.987955,1.00219,0.002195
744,0.984529,0.998843,-0.001157
745,0.983214,0.997936,-0.002064
746,1.00044,1.01495,0.014954
747,0.965065,0.996176,-0.003824
748,0.975732,0.994084,-0.005916
749,0.979288,0.995696,-0.004304
750,0.984251,0.998732,-0.001268
751,0.984955,0.999695,-0.000305
752,0.982547,0.997398,-0.002602
753,0.993398,1.0097,0.009695
754,0.982843,0.997973,-0.002027
755,0.985232,0.999769,-0.000231
756,0.986529,1.00121,0.001214
757,0.984214,0.998973,-0.001027
758,0.985066,0.999825,-0.000175
759,0.983491,0.997861,-0.002139
